"name","type","value","display","beauty"
"Alfie Deyes","ratios","3.19",0.62752593548857,FALSE
"Deji","ratios","1.42",0.538549171778253,FALSE
"Keemstar","ratios","NA",NA,FALSE
"Fine Bros","ratios","NA",NA,FALSE
"Gabriel Zamora","ratios","34.29",0.88860121128659,TRUE
"Grav3yardgirl","ratios","2.37",0.594861090141099,TRUE
"H3H3","ratios","32.99",0.884352334672382,FALSE
"Jaclyn Hill","ratios","0.92",0.490833512112991,TRUE
"James Charles","ratios","4.01",0.652675611002368,TRUE
"Jeffree Star","ratios","7.76",0.725253170166388,TRUE
"Jenna Marbles","ratios","94.46",1,FALSE
"Jon Tron","ratios","NA",NA,FALSE
"KSI","ratios","15.45",0.800956770777361,FALSE
"Laura Lee","ratios","NA",NA,TRUE
"Leafy","ratios","1.10",0.510477845412213,FALSE
"Logan Paul","ratios","0.73",0.465402535796672,FALSE
"Louis Cole","ratios","6.10",0.698792723337175,FALSE
"Maximilian Dood","ratios","NA",NA,FALSE
"Olivia Jade","ratios","8.72",0.73807555124999,TRUE
"Onision","ratios","2.42",0.597156250100773,FALSE
"PewDiePie","ratios","12.48",0.777487844047026,FALSE
"RiceGum","ratios","1.05",0.505363706152411,FALSE
"Shay Carl","ratios","NA",NA,FALSE
"Tana","ratios","0.29",0.363915311370134,FALSE
"LaBrant Fam","ratios","15.90",0.804112992408902,FALSE
"Zoella","ratios","9.52",0.747725090089141,TRUE
"Jake Paul","ratios","2.32",0.592516989199172,FALSE
"Social Repose","ratios","0.06",0.190710030850888,FALSE
"Brad Sousa","ratios","0.32",0.374737238969283,FALSE
"TmarTn","ratios","NA",NA,FALSE
"Jake Dufner","ratios","4.02",0.652949419783966,FALSE
