"name","type","value","display","beauty"
"Alfie Deyes","change","-0.01",0.498741315365828,FALSE
"Deji","change","-0.04",0.494877607645842,FALSE
"Keemstar","change","-0.12",0.483866932410132,FALSE
"Fine Bros","change","-0.17",0.476388124002933,FALSE
"Gabriel Zamora","change","7.07",0.744056617159544,TRUE
"Grav3yardgirl","change","-0.01",0.498741315365828,TRUE
"H3H3","change","0.09",0.510730553892493,FALSE
"Jaclyn Hill","change","-0.01",0.498741315365828,TRUE
"James Charles","change","1.28",0.599279704390657,TRUE
"Jeffree Star","change","0.23",0.525604936848189,TRUE
"Jenna Marbles","change","0.01",0.50124462082443,FALSE
"Jon Tron","change","0.07",0.508433721903409,FALSE
"KSI","change","0.05",0.506088532021266,FALSE
"Laura Lee","change","-0.88",0,TRUE
"Leafy","change","-0.05",0.493559338947713,FALSE
"Logan Paul","change","0.30",0.532358059269203,FALSE
"Louis Cole","change","0.11",0.512980982046325,FALSE
"Maximilian Dood","change","0.03",0.503692904101171,FALSE
"Olivia Jade","change","0.11",0.512980982046325,TRUE
"Onision","change","-0.00",0.5,FALSE
"PewDiePie","change","0.01",0.50124462082443,FALSE
"RiceGum","change","-0.00",0.5,FALSE
"Shay Carl","change","0.01",0.50124462082443,FALSE
"Tana","change","-0.03",0.49618045764301,FALSE
"LaBrant Fam","change","0.04",0.504897158045322,FALSE
"Zoella","change","-0.00",0.5,TRUE
"Jake Paul","change","1.00",0.58389080594787,FALSE
"Social Repose","change","-0.39",0.43576965064577,FALSE
"Brad Sousa","change","-0.45",0.421529983965273,FALSE
"TmarTn","change","-0.02",0.497468245453027,FALSE
"Jake Dufner","change","0.15",0.517349871606834,FALSE
