"name","type","value","display","beauty"
"Alfie Deyes","sorries","0.35",0.779745432431751,FALSE
"Deji","sorries","1.16",0.894215563133587,FALSE
"Keemstar","sorries","0.15",0.698824516006969,FALSE
"Fine Bros","sorries","NA",NA,FALSE
"Gabriel Zamora","sorries","0.66",0.84033910964889,TRUE
"Grav3yardgirl","sorries","0.04",0.572708778495887,TRUE
"H3H3","sorries","0.45",0.803751864197234,FALSE
"Jaclyn Hill","sorries","0.18",0.716234297819149,TRUE
"James Charles","sorries","0.08",0.63881813432181,TRUE
"Jeffree Star","sorries","0.18",0.716234297819149,TRUE
"Jenna Marbles","sorries","0.22",0.735398259766792,FALSE
"Jon Tron","sorries","0.11",0.669213094062521,FALSE
"KSI","sorries","NA",NA,FALSE
"Laura Lee","sorries","1.01",0.880986337811616,TRUE
"Leafy","sorries","0.58",0.827995232080893,FALSE
"Logan Paul","sorries","3.51",1,FALSE
"Louis Cole","sorries","0.00",0,FALSE
"Maximilian Dood","sorries","0.00",0,FALSE
"Olivia Jade","sorries","0.50",0.813816688400761,TRUE
"Onision","sorries","0.38",0.787600932781444,FALSE
"PewDiePie","sorries","0.41",0.794859366377074,FALSE
"RiceGum","sorries","0.34",0.776976544818505,FALSE
"Shay Carl","sorries","0.66",0.84033910964889,FALSE
"Tana","sorries","0.48",0.809917039845797,FALSE
"LaBrant Fam","sorries","0.37",0.785053524500218,FALSE
"Zoella","sorries","0.09",0.650058768784254,TRUE
"Jake Paul","sorries","0.00",0,FALSE
"Social Repose","sorries","0.27",0.754957840087246,FALSE
"Brad Sousa","sorries","NA",NA,FALSE
"TmarTn","sorries","0.22",0.735398259766792,FALSE
"Jake Dufner","sorries","0.07",0.626076566154104,FALSE
