"","days","id","value","cluster"
"1",1,"1",0.977839863947172,4
"2",2,"1",0.978005874353015,4
"3",3,"1",0.978130787720277,4
"4",4,"1",0.97821460404896,4
"5",5,"1",0.978305990884749,4
"6",6,"1",0.978395935719185,4
"7",7,"1",0.978463529532638,4
"8",8,"1",0.978524093589493,4
"9",9,"1",0.978582314394148,4
"10",10,"1",0.97865026870794,4
"11",11,"1",0.978737149289499,4
"12",12,"1",0.978809609857521,4
"13",13,"1",0.978892344685189,4
"14",14,"1",0.978984993272162,4
"15",15,"1",0.979088997619797,4
"16",16,"1",0.979186693211508,4
"17",17,"1",0.979283307302205,4
"18",18,"1",0.979373792887148,4
"19",19,"1",0.97950104950661,4
"20",20,"1",0.979591895591892,4
"21",21,"1",0.9797223967144,4
"22",22,"1",0.979816847803066,4
"23",23,"1",0.979866416599599,4
"24",24,"1",0.979946988425235,4
"25",25,"1",0.980036933259671,4
"26",26,"1",0.980134448601214,4
"27",27,"1",0.980195553408576,4
"28",28,"1",0.980246023455955,4
"29",29,"1",0.980303883760271,4
"30",30,"1",0.980405725105874,4
"31",31,"1",0.980487738932865,4
"32",32,"1",0.980583091272377,4
"33",33,"1",0.980653929588876,4
"34",34,"1",0.980759556188033,4
"35",35,"1",0.980830394504533,4
"36",36,"1",0.980895464815618,4
"37",37,"1",0.980985950400561,4
"38",38,"1",0.981053724464184,4
"39",39,"1",0.981126365282375,4
"40",40,"1",0.981221357121549,4
"41",41,"1",0.981291654687541,4
"42",42,"1",0.981378174768762,4
"43",43,"1",0.981447210583569,4
"44",44,"1",0.981550854430865,4
"45",45,"1",0.981609435735858,4
"46",46,"1",0.981688024809633,4
"47",47,"1",0.981778330144407,4
"48",48,"1",0.981907389265562,4
"49",49,"1",0.981985077088491,4
"50",50,"1",0.982042216392131,4
"51",51,"1",0.982092866689679,4
"52",52,"1",0.982157216000087,4
"53",53,"1",0.982206965046788,4
"54",54,"1",0.982292403626994,4
"55",55,"1",0.982357473938079,4
"56",56,"1",0.982439127264731,4
"57",57,"1",0.982498429570401,4
"58",58,"1",0.982544753863888,4
"59",59,"1",0.982635599949169,4
"60",60,"1",0.982702292511777,4
