"name","type","value","display","beauty"
"Alfie Deyes","cuts",2.8,0.604950112836583,FALSE
"Deji","cuts",3.82,0.534366282620382,FALSE
"Keemstar","cuts",2.9,0.597241151109014,FALSE
"Fine Bros","cuts",0,1,FALSE
"Gabriel Zamora","cuts",0,1,TRUE
"Grav3yardgirl","cuts",0.46,0.888326164151367,TRUE
"H3H3","cuts",4.93,0.47281444556498,FALSE
"Jaclyn Hill","cuts",3.42,0.560088490518495,TRUE
"James Charles","cuts",2,0.675079237721983,TRUE
"Jeffree Star","cuts",3.03,0.58750911222392,TRUE
"Jenna Marbles","cuts",2.05,0.670177161788738,FALSE
"Jon Tron","cuts",4.04,0.521112909393844,FALSE
"KSI","cuts",7.75,0.357220486742075,FALSE
"Laura Lee","cuts",3.16,0.578085326696796,TRUE
"Leafy","cuts",NA,NA,FALSE
"Logan Paul","cuts",0,1,FALSE
"Louis Cole","cuts",2.55,0.625144379014223,FALSE
"Maximilian Dood","cuts",0,1,FALSE
"Olivia Jade","cuts",0,1,TRUE
"Onision","cuts",0.09,0.974601238480224,FALSE
"PewDiePie","cuts",4.4,0.500623413245522,FALSE
"RiceGum","cuts",28.09,0,FALSE
"Shay Carl","cuts",0,1,FALSE
"Tana","cuts",7.72,0.358241239987063,FALSE
"LaBrant Fam","cuts",1,0.795231230503051,FALSE
"Zoella","cuts",3.52,0.553446489750062,TRUE
"Jake Paul","cuts",NA,NA,FALSE
"Social Repose","cuts",0,1,FALSE
"Brad Sousa","cuts",4.93,0.47281444556498,FALSE
"TmarTn","cuts",2.02,0.673108705492867,FALSE
"Jake Dufner","cuts",0.3,0.922614333756147,FALSE
"Manny Mua","cuts",0.51,0.878373755482079,TRUE
"Yovana Mendoza","cuts",1.84,0.69133170203291,FALSE
"Simply Kenna","cuts",2.19,0.656866028826193,FALSE
