id,name,controversy_date,apology_date,beauty,beauty_notes,controversy_type,controversy_summary,likes_dislikes_views,channel_id,avg_shot_length,video_link,original_available,info_page,remove_flag,note,growth_pre,growth_post,growth_delta
26,PewDiePie,"Sep 10, 2017","Sep 12, 2017",,,Racist Comments,He used a racial slur during a livestream.,879461/70595/13392279,UC-lHJZR3Gqxm24_Vd_AJ5Yw,,https://www.youtube.com/watch?v=cLdxuaxaQwc,TRUE,https://en.wikipedia.org/wiki/PewDiePie,FALSE,,C,B,1
28,RiceGum,"Dec 31, 2018","Jan 3, 2019",,,Exploiting Audience,Promoted a mystery box gambling website to his young audience.,102700/97846/1919988,UCDo9msNItILnyF_Y2eHaNQg,,https://www.youtube.com/watch?v=4E8qmF10Mts,TRUE,https://en.wikipedia.org/wiki/RiceGum,FALSE,,C,C,0
31,Shay Carl,"Feb 12, 2017","Nov 16, 2017",,,Character Allegations,Evidence of adultery was released on Twitter.,,UCJZ7f6NQzGKZnFXzFW9y9UQ,,https://www.youtube.com/watch?v=_S_1I7mMHrU,FALSE,https://en.wikipedia.org/wiki/Shay_Carl,FALSE,,C,C,0
33,Tana,"Feb 6, 2017","Feb 17, 2017",,Maybe (Lifestyle/VLOG) - no wiki,Racist Comments,idubzzz brought up a history of racist comments by Tana.,115184/389735/3986211,UClWD8su9Sk6GzZDwy9zs3_w,,https://www.youtube.com/watch?v=Fazh9Lm1kDE,TRUE,https://en.wikipedia.org/wiki/Tana_Mongeau,FALSE,,A,B,-1
34,LaBrant Fam,"Apr 1, 2019","Apr 3, 2019",,,Insensitive Video,Made a prank video on their daughter in which they said they were going to give her dog away. ,119350/7376/2705070,UC4-CH0epzZpD_ARhxCx6LaQ,,https://www.youtube.com/watch?v=Mcf2RUFsS38,TRUE,http://youtube.fandom.com/wiki/The_LaBrant_Fam,FALSE,,B,B,0
38,Zoella,"Nov 10, 2017","Nov 14, 2017",yes,Maybe (Lifestyle/VLOG) - yes wiki,Exploiting Audience,Created and promoted an overpriced advent calendar marketed to young kids.,82848/8695/2151967,UCrUbqTCagwsaP2Fmr0p1TsA,,https://www.youtube.com/watch?v=A5TPOKoE1_M,TRUE,http://youtube.fandom.com/wiki/Zoe,FALSE,,C,C,0
39,Jake Paul,"Jun1, 2017","Jun3, 2017",,,YouTuber Beef,Made a diss track about his brother which caused a lot of controversy among fans.,313402/135250/6973659,UCcgVECVN4OKV6DH1jLkqmcA,,https://www.youtube.com/watch?v=C45-1rf65PU,TRUE,https://en.wikipedia.org/wiki/Jake_Paul,FALSE,,A,A,0
40,Social Repose,"Nov 5, 2017","Nov 5, 2017",,,Character Allegations,"Cheated on another YouTuber, Jaclyn Glen, and she made a video about the situation.",4718/74757/495344,UCDPcpBgq_VcQ0PkD0z0B6tA,,https://www.youtube.com/watch?v=zY4PsDe-RMM,TRUE,,FALSE,,C,B,1
42,Brad Sousa,"April 28, 2019","May 1, 2019",,,Character Allegations,Cheated on YouTuber Tana.,14862/45924/1273224,UCUueLzONiG023wpmI2D-0yA,,https://www.youtube.com/watch?v=B_4QJ47OLao,TRUE,,FALSE,,A,D,-3
43,TmarTn,"Jun 27, 2016","Jul 6, 2016",,,Exploiting Audience,Was promoting a Counter-Strike gambling website to his audience and it was revealed that he owned the website. This caused a massive backlash in the community.,,UCEHf6KUY7Zw7hlXQ7hDemwQ,,https://www.youtube.com/watch?v=rSk87Rj1Q34,FALSE,,FALSE,,B,C,-1
