"name","type","value","display","beauty"
"Alfie Deyes","sorries",0.61,0.672895246014175,FALSE
"Deji","sorries",2.29,0.886634011163291,FALSE
"Keemstar","sorries",0.23,0.518155483806692,FALSE
"Fine Bros","sorries",0.32,0.570076739998789,FALSE
"Gabriel Zamora","sorries",1.16,0.776433210662952,TRUE
"Grav3yardgirl","sorries",0.07,0.339035804802237,TRUE
"H3H3","sorries",0.82,0.720455541417567,FALSE
"Jaclyn Hill","sorries",0.43,0.616980930862492,TRUE
"James Charles","sorries",0.17,0.471251292942988,TRUE
"Jeffree Star","sorries",0.33,0.574944019594929,TRUE
"Jenna Marbles","sorries",0.38,0.597313531658498,FALSE
"Jon Tron","sorries",0.22,0.511216489448191,FALSE
"KSI","sorries",NA,NA,FALSE
"Laura Lee","sorries",0.84,0.72433767144187,TRUE
"Leafy","sorries",1.27,0.791083544538554,FALSE
"Logan Paul","sorries",4.6,1,FALSE
"Louis Cole","sorries",0,0,FALSE
"Maximilian Dood","sorries",0,0,FALSE
"Olivia Jade","sorries",0.92,0.739002990084551,TRUE
"Onision","sorries",0.57,0.662021767066429,FALSE
"PewDiePie","sorries",0.63,0.678071609604475,FALSE
"RiceGum","sorries",0.83,0.722408160661054,FALSE
"Shay Carl","sorries",1.06,0.761866228427409,FALSE
"Tana","sorries",0.61,0.672895246014175,FALSE
"LaBrant Fam","sorries",0.8,0.716478716017818,FALSE
"Zoella","sorries",0.13,0.43027654672252,TRUE
"Jake Paul","sorries",0,0,FALSE
"Social Repose","sorries",0.37,0.59307844268805,FALSE
"Brad Sousa","sorries",NA,NA,FALSE
"TmarTn","sorries",0.4,0.605467318551844,FALSE
"Jake Dufner","sorries",0.13,0.43027654672252,FALSE
"Manny Mua","sorries",0.35,0.584263227877067,TRUE
"Yovana Mendoza","sorries",0.06,0.317264611788441,FALSE
"Simply Kenna","sorries",1.34,0.799764623794385,FALSE
