"name","type","value","display","beauty"
"Alfie Deyes","change",-0.01,0.497761871895051,FALSE
"Deji","change",-0.06,0.485923132434882,FALSE
"Keemstar","change",-0.12,0.470044597920232,FALSE
"Fine Bros","change",-0.1,0.475566073555907,FALSE
"Gabriel Zamora","change",2.33,0.703842437066359,TRUE
"Grav3yardgirl","change",-0.01,0.497761871895051,TRUE
"H3H3","change",0.09,0.518512119016024,FALSE
"Jaclyn Hill","change",-0.01,0.497761871895051,TRUE
"James Charles","change",0.77,0.607443709760504,TRUE
"Jeffree Star","change",0.23,0.54274113023762,TRUE
"Jenna Marbles","change",0.01,0.50219851313118,FALSE
"Jon Tron","change",0.06,0.512642708281143,FALSE
"KSI","change",0.03,0.506482135870349,FALSE
"Laura Lee","change",-0.55,0,TRUE
"Leafy","change",-0.05,0.488382871212709,FALSE
"Logan Paul","change",0.27,0.548876340167632,FALSE
"Louis Cole","change",0.06,0.512642708281143,FALSE
"Maximilian Dood","change",0.03,0.506482135870349,FALSE
"Olivia Jade","change",0.14,0.527717273974819,TRUE
"Onision","change",0,0.5,FALSE
"PewDiePie","change",0.01,0.50219851313118,FALSE
"RiceGum","change",0,0.5,FALSE
"Shay Carl","change",0.01,0.50219851313118,FALSE
"Tana","change",0.01,0.50219851313118,FALSE
"LaBrant Fam","change",0.04,0.508569794242544,FALSE
"Zoella","change",0,0.5,TRUE
"Jake Paul","change",1.01,0.628050192109411,FALSE
"Social Repose","change",-0.28,0.413902283102951,FALSE
"Brad Sousa","change",-0.44,0.308657086473627,FALSE
"TmarTn","change",-0.02,0.495482674935636,FALSE
"Jake Dufner","change",0.14,0.527717273974819,FALSE
"Manny Mua","change",-0.32,0.394754803370676,TRUE
"Yovana Mendoza","change",-0.07,0.483413698617706,FALSE
"Simply Kenna","change",-0.02,0.495482674935636,FALSE
