"name","type","value","display","beauty"
"Alfie Deyes","sorries",0.00350877192982456,0.1,FALSE
"Deji","sorries",0.0115718418514947,0.329797492767599,FALSE
"Keemstar","sorries",0.0015149602322939,0.0431763666203762,FALSE
"Fine Bros","sorries",NA,NA,FALSE
"Gabriel Zamora","sorries",0.00663716814159292,0.189159292035398,TRUE
"Grav3yardgirl","sorries",0.000355745286374956,0.0101387406616862,TRUE
"H3H3","sorries",0.00452488687782805,0.1289592760181,FALSE
"Jaclyn Hill","sorries",0.00180126088261783,0.0513359351546082,TRUE
"James Charles","sorries",0.000781511666852741,0.0222730825053031,TRUE
"Jeffree Star","sorries",0.00178062678062678,0.0507478632478633,TRUE
"Jenna Marbles","sorries",0.00219512195121951,0.0625609756097561,FALSE
"Jon Tron","sorries",0.00107181136120043,0.0305466237942122,FALSE
"KSI","sorries",NA,NA,FALSE
"Laura Lee","sorries",0.0100502512562814,0.28643216080402,TRUE
"Leafy","sorries",0.00582627118644068,0.166048728813559,FALSE
"Logan Paul","sorries",0.0350877192982456,1,FALSE
"Louis Cole","sorries",0,0,FALSE
"Maximilian Dood","sorries",0,0,FALSE
"Olivia Jade","sorries",0.00504201680672269,0.143697478991597,TRUE
"Onision","sorries",0.00377121307353866,0.107479572595852,FALSE
"PewDiePie","sorries",0.00409836065573771,0.116803278688525,FALSE
"RiceGum","sorries",0.00337837837837838,0.0962837837837838,FALSE
"Shay Carl","sorries",0.00659630606860158,0.187994722955145,FALSE
"Tana","sorries",0.00482259731312435,0.137444023424044,FALSE
"LaBrant Fam","sorries",0.00374414976599064,0.106708268330733,FALSE
"Zoella","sorries",0.00094948727687049,0.027060387390809,TRUE
"Jake Paul","sorries",0,0,FALSE
"Social Repose","sorries",0.0027266530334015,0.0777096114519427,FALSE
"Brad Sousa","sorries",NA,NA,FALSE
"TmarTn","sorries",0.00216450216450216,0.0616883116883117,FALSE
"Jake Dufner","sorries",0.000692520775623269,0.0197368421052632,FALSE
