"","days","id","value","cluster"
"1",1,"1",0.977839863947172,3
"2",2,"1",0.978005874353015,3
"3",3,"1",0.978130787720277,3
"4",4,"1",0.97821460404896,3
"5",5,"1",0.978305990884749,3
"6",6,"1",0.978395935719185,3
"7",7,"1",0.978463529532638,3
"8",8,"1",0.978524093589493,3
"9",9,"1",0.978582314394148,3
"10",10,"1",0.97865026870794,3
"11",11,"1",0.978737149289499,3
"12",12,"1",0.978809609857521,3
"13",13,"1",0.978892344685189,3
"14",14,"1",0.978984993272162,3
"15",15,"1",0.979088997619797,3
"16",16,"1",0.979186693211508,3
"17",17,"1",0.979283307302205,3
"18",18,"1",0.979373792887148,3
"19",19,"1",0.97950104950661,3
"20",20,"1",0.979591895591892,3
"21",21,"1",0.9797223967144,3
"22",22,"1",0.979816847803066,3
"23",23,"1",0.979866416599599,3
"24",24,"1",0.979946988425235,3
"25",25,"1",0.980036933259671,3
"26",26,"1",0.980134448601214,3
"27",27,"1",0.980195553408576,3
"28",28,"1",0.980246023455955,3
"29",29,"1",0.980303883760271,3
"30",30,"1",0.980405725105874,3
"31",31,"1",0.980487738932865,3
"32",32,"1",0.980583091272377,3
"33",33,"1",0.980653929588876,3
"34",34,"1",0.980759556188033,3
"35",35,"1",0.980830394504533,3
"36",36,"1",0.980895464815618,3
"37",37,"1",0.980985950400561,3
"38",38,"1",0.981053724464184,3
"39",39,"1",0.981126365282375,3
"40",40,"1",0.981221357121549,3
"41",41,"1",0.981291654687541,3
"42",42,"1",0.981378174768762,3
"43",43,"1",0.981447210583569,3
"44",44,"1",0.981550854430865,3
"45",45,"1",0.981609435735858,3
"46",46,"1",0.981688024809633,3
"47",47,"1",0.981778330144407,3
"48",48,"1",0.981907389265562,3
"49",49,"1",0.981985077088491,3
"50",50,"1",0.982042216392131,3
"51",51,"1",0.982092866689679,3
"52",52,"1",0.982157216000087,3
"53",53,"1",0.982206965046788,3
"54",54,"1",0.982292403626994,3
"55",55,"1",0.982357473938079,3
"56",56,"1",0.982439127264731,3
"57",57,"1",0.982498429570401,3
"58",58,"1",0.982544753863888,3
"59",59,"1",0.982635599949169,3
"60",60,"1",0.982702292511777,3
"61",61,"1",0.98279295834689,3
"62",62,"1",0.982836398637669,3
"63",63,"1",0.982887950186063,3
"64",64,"1",0.98290020719757,3
"65",65,"1",0.982878036426757,3
"66",66,"1",0.982861633661359,3
"67",67,"1",0.982934815230058,3
