"name","type","value","display","beauty"
"Alfie Deyes","cuts",2.92,0.313068814712826,FALSE
"Deji","cuts",4.01,0.269345498169237,FALSE
"Keemstar","cuts",2.92,0.313068814712826,FALSE
"Fine Bros","cuts",0.32,0.617831461860216,FALSE
"Gabriel Zamora","cuts",0.02,1,TRUE
"Grav3yardgirl","cuts",0.5,0.556316067155601,TRUE
"H3H3","cuts",5.34,0.229863904849416,FALSE
"Jaclyn Hill","cuts",3.49,0.288489772508538,TRUE
"James Charles","cuts",2.02,0.363860262752806,TRUE
"Jeffree Star","cuts",3.1,0.304823543178285,TRUE
"Jenna Marbles","cuts",2.08,0.359825687006068,FALSE
"Jon Tron","cuts",4.27,0.260686148287515,FALSE
"KSI","cuts",7.76,0.178345970242947,FALSE
"Laura Lee","cuts",3.38,0.292904181221812,TRUE
"Leafy","cuts",NA,NA,FALSE
"Logan Paul","cuts",0.58,0.535858126195311,FALSE
"Louis Cole","cuts",2.76,0.320836400005546,FALSE
"Maximilian Dood","cuts",0.21,0.67589075240763,FALSE
"Olivia Jade","cuts",0.31,0.62220764413543,TRUE
"Onision","cuts",0.19,0.68968607255082,FALSE
"PewDiePie","cuts",5.03,0.238107408423364,FALSE
"RiceGum","cuts",28.3,0,FALSE
"Shay Carl","cuts",0.11,0.765020653412655,FALSE
"Tana","cuts",7.77,0.178168458095182,FALSE
"LaBrant Fam","cuts",1.06,0.452742253324654,FALSE
"Zoella","cuts",3.52,0.287309980737925,TRUE
"Jake Paul","cuts",NA,NA,FALSE
"Social Repose","cuts",0.09,0.792680733581456,FALSE
"Brad Sousa","cuts",5.11,0.235932402132148,FALSE
"TmarTn","cuts",2.43,0.33838863215122,FALSE
"Jake Dufner","cuts",0.35,0.605479486462176,FALSE
"Manny Mua","cuts",0.55,0.543178686990456,TRUE
"Yovana Mendoza","cuts",1.87,0.374495728727323,FALSE
"Simply Kenna","cuts",2.24,0.349610780209645,FALSE
